type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Quest Hunter,10960,0.5870000000000001,1500,8.1,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Cult Master,Sky Gen'ral Kragg,Faceless Corruptor,Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,,,,,,,,,,,,880.5000000000001,Hunter
Dragon Hunter,5700,0.5870000000000001,4000,5.7,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Unleash the Hounds,Dragonbane,Evasive Feywing,Frenzied Felwing,Lifedrinker,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,2348.0000000000005,Hunter
Secret Highlander Hunter,16700,0.5870000000000001,2200,8.2,Dwarven Sharpshooter,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,SN1P-SN4P,Unleash the Hounds,Ursatron,Hyena Alpha,Sandbinder,Spellbreaker,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,1291.4,Hunter
Mech Paladin,7040,0.5870000000000001,40000,5.8,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,23480.000000000004,Paladin
Mech Paladin,7000,0.5870000000000001,1500,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,880.5000000000001,Paladin
Highlander Hunter,16440,0.5870000000000001,4200,7.0,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Big Ol' Whelp,Faceless Corruptor,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2465.4000000000005,Hunter
Highlander Hunter,16340,0.5870000000000001,2600,6.9,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1526.2000000000003,Hunter
Token Druid,5320,0.586,3200,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,BEEEES!!!,Blessing of the Ancients,Landscaping,Savage Roar,Soul of the Forest,Wispering Woods,Aeroponics,Force of Nature,Treespeaker,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,1875.1999999999998,Druid
Token Druid,4840,0.586,2000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1172.0,Druid
Highlander Hunter,18000,0.586,2600,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster Shaw,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1523.6,Hunter
Mech Paladin,6960,0.586,6300,5.8,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,3691.7999999999997,Paladin
Face Hunter,10000,0.586,2500,6.5,Dwarven Sharpshooter,Secretkeeper,Springpaw,Toxic Reinforcements,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Sunreaver Spy,Animal Companion,Eaglehorn Bow,Masked Contender,Dragonbane,Houndmaster Shaw,Hyena Alpha,Leeroy Jenkins,Subject 9,,,,,,,,,,,1465.0,Hunter
Mech Paladin,7200,0.586,1800,6.0,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,1054.8,Paladin
Secret Highlander Hunter,14700,0.586,2400,8.0,Dwarven Sharpshooter,Secretkeeper,Springpaw,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,SN1P-SN4P,Unleash the Hounds,Ursatron,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Dragonqueen Alexstrasza,Zul'jin,1406.3999999999999,Hunter
Secret Highlander Hunter,15080,0.585,17000,7.5,Dwarven Sharpshooter,Mecharoo,Secretkeeper,Springpaw,Corrosive Breath,Explosive Trap,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Big Ol' Whelp,Faceless Corruptor,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Dragonqueen Alexstrasza,Zul'jin,9945.0,Hunter
Mech Paladin,7080,0.584,3300,6.0,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,1927.1999999999998,Paladin
Mech Paladin,6680,0.584,4300,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2511.2,Paladin
Highlander Hunter,15940,0.584,10000,6.7,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Escaped Manasaber,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,5840.0,Hunter
Face Hunter,1960,0.583,1900,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,1107.6999999999998,Hunter
Highlander Hunter,16760,0.583,2500,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1457.5,Hunter
Mech Paladin,7040,0.5820000000000001,87000,5.8,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,50634.00000000001,Paladin
Highlander Hunter,17120,0.5820000000000001,2600,7.0,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1513.2000000000003,Hunter
Resurrect Priest,11400,0.5820000000000001,64000,11.1,Forbidden Words,Penance,Bad Luck Albatross,Breath of the Infinite,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Time Rip,Zilliax,Khartut Defender,"Galakrond, the Unspeakable",Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,37248.00000000001,Priest
Mech Paladin,6680,0.5820000000000001,3400,6.0,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,1978.8000000000002,Paladin
Secret Highlander Hunter,13900,0.5820000000000001,1000,7.4,Dwarven Sharpshooter,Mecharoo,Secretkeeper,Tracking,Corrosive Breath,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Zephrys the Great,Diving Gryphon,Eaglehorn Bow,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Big Ol' Whelp,Faceless Corruptor,Zilliax,Savannah Highmane,Veranus,Dinotamer Brann,Dragonqueen Alexstrasza,582.0000000000001,Hunter
Highlander Hunter,16140,0.581,4300,7.2,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Primordial Explorer,SN1P-SN4P,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Troll Batrider,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2498.2999999999997,Hunter
Highlander Hunter,17120,0.581,8500,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4938.5,Hunter
Face Hunter,1880,0.581,3300,5.5,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Wolfrider,Lifedrinker,,,,,,,,,,,,,,,,1917.3,Hunter
Secret Highlander Hunter,14700,0.581,3100,7.8,Dwarven Sharpshooter,Secretkeeper,Springpaw,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,1801.1,Hunter
Hunter,1300,0.581,5700,6.3,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,3311.7,Hunter
Highlander Hunter,17020,0.581,1100,6.3,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,639.0999999999999,Hunter
Token Druid,3240,0.58,1800,6.5,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1044.0,Druid
Embiggen Druid,8120,0.58,20000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,King Mukla,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,11600.0,Druid
Mech Paladin,7100,0.58,4300,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shieldbreaker,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2494.0,Paladin
Secret Highlander Hunter,13480,0.58,1100,8.3,Dwarven Sharpshooter,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Primordial Explorer,SN1P-SN4P,Unleash the Hounds,Ursatron,Hyena Alpha,Marked Shot,Sandbinder,Zilliax,Evasive Wyrm,Unleash the Beast,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,638.0,Hunter
Secret Highlander Hunter,14700,0.58,1500,8.4,Dwarven Sharpshooter,Secretkeeper,Springpaw,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Unleash the Hounds,Ursatron,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,869.9999999999999,Hunter
Dragon Hunter,5640,0.58,3300,5.7,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Frenzied Felwing,Big Ol' Whelp,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,,1913.9999999999998,Hunter
Quest Resurrect Priest,11900,0.58,1200,10.5,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Vivid Nightmare,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,696.0,Priest
Mech Paladin,6940,0.579,10000,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,5790.0,Paladin
Mech Paladin,7000,0.579,10000,5.6,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,5790.0,Paladin
Token Druid,3640,0.579,12000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Wispering Woods,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,6947.999999999999,Druid
Highlander Hunter,16400,0.579,2800,6.6,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1621.1999999999998,Hunter
Quest Resurrect Priest,11900,0.579,1400,10.6,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,810.5999999999999,Priest
Highlander Hunter,16500,0.579,6200,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Wing Blast,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,3589.7999999999997,Hunter
Resurrect Priest,9900,0.578,4800,11.1,Forbidden Words,Penance,Bad Luck Albatross,Breath of the Infinite,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Time Rip,Zilliax,Khartut Defender,"Galakrond, the Unspeakable",Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,2774.3999999999996,Priest
Highlander Hunter,16800,0.578,6700,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Spellbreaker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,3872.6,Hunter
Quest Resurrect Priest,10360,0.578,1500,10.6,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,866.9999999999999,Priest
Quest Resurrect Priest,11540,0.578,4000,10.5,Forbidden Words,Activate the Obelisk,Injured Tol'vir,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,2312.0,Priest
Quest Resurrect Priest,9900,0.578,2800,10.8,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,1618.3999999999999,Priest
Quest Resurrect Priest,11600,0.578,7400,9.9,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,4277.2,Priest
